cost,storage_available,k,optimal_decision
0,"[inf, 0, 0]",4,
0,"[inf, 0, 1]",4,
0,"[inf, 0, 2]",4,
0,"[inf, 0, 3]",4,
0,"[inf, 1, 0]",4,
0,"[inf, 1, 1]",4,
0,"[inf, 1, 2]",4,
0,"[inf, 1, 3]",4,
0,"[inf, 2, 0]",4,
0,"[inf, 2, 1]",4,
0,"[inf, 2, 2]",4,
0,"[inf, 2, 3]",4,
0,"[inf, 3, 0]",4,
0,"[inf, 3, 1]",4,
0,"[inf, 3, 2]",4,
0,"[inf, 3, 3]",4,
400.40994622355004,"[inf, 0, 0]",3,"(0, 0)"
202.1064537156022,"[inf, 0, 1]",3,"(0, 2)"
201.78931007445635,"[inf, 0, 2]",3,"(2, 0)"
3.485817566508498,"[inf, 0, 3]",3,"(2, 2)"
210.60694997074523,"[inf, 1, 0]",3,"(0, 1)"
202.1064537156022,"[inf, 1, 1]",3,"(0, 2)"
11.986313821651521,"[inf, 1, 2]",3,"(2, 1)"
3.485817566508498,"[inf, 1, 3]",3,"(2, 2)"
210.45153645329324,"[inf, 2, 0]",3,"(1, 0)"
12.148043945345398,"[inf, 2, 1]",3,"(1, 2)"
11.986313821651521,"[inf, 2, 2]",3,"(2, 1)"
3.485817566508498,"[inf, 2, 3]",3,"(2, 2)"
20.64854020048842,"[inf, 3, 0]",3,"(1, 1)"
12.148043945345398,"[inf, 3, 1]",3,"(1, 2)"
11.986313821651521,"[inf, 3, 2]",3,"(2, 1)"
3.485817566508498,"[inf, 3, 3]",3,"(2, 2)"
414.63219501959907,"[inf, 0, 0]",2,"(0, 0)"
214.8777678007191,"[inf, 0, 1]",2,"(0, 2)"
213.06079093955535,"[inf, 0, 2]",2,"(2, 0)"
13.294147731801132,"[inf, 0, 3]",2,"(2, 2)"
224.78128398652717,"[inf, 1, 0]",2,"(0, 1)"
214.83620528334183,"[inf, 1, 1]",2,"(0, 2)"
23.22286830469457,"[inf, 1, 2]",2,"(2, 1)"
13.265738262337974,"[inf, 1, 3]",2,"(2, 2)"
224.5764081193456,"[inf, 2, 0]",2,"(1, 0)"
24.834891765596865,"[inf, 2, 1]",2,"(1, 2)"
23.18681566197521,"[inf, 2, 2]",2,"(2, 1)"
13.23641323595036,"[inf, 2, 3]",2,"(2, 2)"
34.722453306022864,"[inf, 3, 0]",2,"(1, 1)"
24.790691350349533,"[inf, 3, 1]",2,"(1, 2)"
23.149674214573047,"[inf, 3, 2]",2,"(2, 1)"
13.20620312560564,"[inf, 3, 3]",2,"(2, 2)"
426.26925158681706,"[inf, 0, 0]",1,"(0, 0)"
226.24610637146645,"[inf, 0, 1]",1,"(0, 2)"
224.15552721924337,"[inf, 0, 2]",1,"(2, 0)"
24.125278648208113,"[inf, 0, 3]",1,"(2, 2)"
236.41830538189814,"[inf, 1, 0]",1,"(0, 1)"
226.20450982908636,"[inf, 1, 1]",1,"(0, 2)"
34.317571726540784,"[inf, 1, 2]",1,"(2, 1)"
24.09683744503894,"[inf, 1, 3]",1,"(2, 2)"
236.2133932040944,"[inf, 2, 0]",1,"(1, 0)"
36.20316118469526,"[inf, 2, 1]",1,"(1, 2)"
34.281485162125875,"[inf, 2, 2]",1,"(2, 1)"
24.067479657488093,"[inf, 2, 3]",1,"(2, 2)"
46.35940097904627,"[inf, 3, 0]",1,"(1, 1)"
36.158924577601965,"[inf, 3, 1]",1,"(1, 2)"
34.2443087643678,"[inf, 3, 2]",1,"(2, 1)"
24.037235792512295,"[inf, 3, 3]",1,"(2, 2)"
437.454030881362,"[inf, 0, 0]",0,"(0, 0)"
237.38131628394584,"[inf, 0, 1]",0,"(0, 2)"
235.2402308392919,"[inf, 0, 2]",0,"(2, 0)"
35.16129570118693,"[inf, 0, 3]",0,"(2, 2)"
247.60308464483353,"[inf, 1, 0]",0,"(0, 1)"
237.3397197101573,"[inf, 1, 1]",0,"(0, 2)"
45.402275315385765,"[inf, 1, 2]",0,"(2, 1)"
35.13285446701168,"[inf, 1, 3]",0,"(2, 2)"
247.39817243439686,"[inf, 2, 0]",0,"(1, 0)"
47.33837103334088,"[inf, 2, 1]",0,"(1, 2)"
45.366188718757,"[inf, 2, 2]",0,"(2, 1)"
35.10349664745087,"[inf, 2, 3]",0,"(2, 2)"
57.54418017572626,"[inf, 3, 0]",0,"(1, 1)"
47.29413439283895,"[inf, 3, 1]",0,"(1, 2)"
45.32901228780821,"[inf, 3, 2]",0,"(2, 1)"
35.073252749494415,"[inf, 3, 3]",0,"(2, 2)"
