,cost,storage_available,k,optimal_decision
0,545.7133526505086,"[inf, 0, 0]",0,"(0, 0)"
1,344.95640045315395,"[inf, 0, 1]",0,"(0, 2)"
2,342.1185348831423,"[inf, 0, 2]",0,"(2, 0)"
3,141.3682031770972,"[inf, 0, 3]",0,"(2, 2)"
4,355.86233599118805,"[inf, 1, 0]",0,"(0, 1)"
5,344.9147357507645,"[inf, 1, 1]",0,"(0, 2)"
6,152.28051356546948,"[inf, 1, 2]",0,"(2, 1)"
7,141.33969839792067,"[inf, 1, 3]",0,"(2, 2)"
8,355.65735107784803,"[inf, 2, 0]",0,"(1, 0)"
9,154.91331673951575,"[inf, 2, 1]",0,"(1, 2)"
10,152.2443590448384,"[inf, 2, 2]",0,"(2, 1)"
11,141.31027497593197,"[inf, 2, 3]",0,"(2, 2)"
12,165.80328391159128,"[inf, 3, 0]",0,"(1, 1)"
13,154.86900763172136,"[inf, 3, 1]",0,"(1, 2)"
14,152.20711263012214,"[inf, 3, 2]",0,"(2, 1)"
15,141.27996348618296,"[inf, 3, 3]",0,"(2, 2)"
16,522.7636137481983,"[inf, 0, 0]",1,"(0, 0)"
17,322.10985008083117,"[inf, 0, 1]",1,"(0, 2)"
18,319.3770648925691,"[inf, 0, 2]",1,"(2, 0)"
19,118.72798575318068,"[inf, 0, 3]",1,"(2, 2)"
20,332.9126076530846,"[inf, 1, 0]",1,"(0, 1)"
21,322.0681955985148,"[inf, 1, 1]",1,"(0, 2)"
22,129.53905344473915,"[inf, 1, 2]",1,"(2, 1)"
23,118.69949050652724,"[inf, 1, 3]",1,"(2, 2)"
24,332.7076336459936,"[inf, 2, 0]",1,"(1, 0)"
25,132.06678713823925,"[inf, 2, 1]",1,"(1, 2)"
26,129.5029091135115,"[inf, 2, 2]",1,"(2, 1)"
27,118.67007692570073,"[inf, 2, 3]",1,"(2, 2)"
28,142.85357771671303,"[inf, 3, 0]",1,"(1, 1)"
29,132.02248890137156,"[inf, 3, 1]",1,"(1, 2)"
30,129.46567319718773,"[inf, 3, 2]",1,"(2, 1)"
31,118.63977557554273,"[inf, 3, 3]",1,"(2, 2)"
32,503.3180771943747,"[inf, 0, 0]",2,"(0, 0)"
33,302.767502056995,"[inf, 0, 1]",2,"(0, 2)"
34,300.13979725048256,"[inf, 0, 2]",2,"(2, 0)"
35,99.59197067775081,"[inf, 0, 3]",2,"(2, 2)"
36,313.46708166346787,"[inf, 1, 0]",2,"(0, 1)"
37,302.72585779475185,"[inf, 1, 1]",2,"(0, 2)"
38,110.30179567249547,"[inf, 1, 2]",2,"(2, 1)"
39,99.56348496362051,"[inf, 1, 3]",2,"(2, 2)"
40,313.2621185626259,"[inf, 2, 0]",2,"(1, 0)"
41,112.72445988544939,"[inf, 2, 1]",2,"(1, 2)"
42,110.2656615306712,"[inf, 2, 2]",2,"(2, 1)"
43,99.53408122395612,"[inf, 2, 3]",2,"(2, 2)"
44,123.40807387032137,"[inf, 3, 0]",2,"(1, 1)"
45,112.68017251950843,"[inf, 3, 1]",2,"(1, 2)"
46,110.22843611273997,"[inf, 3, 2]",2,"(2, 1)"
47,99.50379001338915,"[inf, 3, 3]",2,"(2, 2)"
48,486.7722781114819,"[inf, 0, 0]",3,"(0, 0)"
