,cost,storage_available,k,optimal_decision
0,448.4886569129918,"[inf, 0, 0]",0,"(0, 0)"
1,248.35083589556166,"[inf, 0, 1]",0,"(0, 2)"
2,246.14345261604745,"[inf, 0, 2]",0,"(2, 0)"
3,46.000636309942266,"[inf, 0, 3]",0,"(2, 2)"
4,258.6377036389122,"[inf, 1, 0]",0,"(0, 1)"
5,248.30923251361094,"[inf, 1, 1]",0,"(0, 2)"
6,56.30549051743182,"[inf, 1, 2]",0,"(2, 1)"
7,45.97218872590447,"[inf, 1, 3]",0,"(2, 2)"
8,258.43278416306634,"[inf, 2, 0]",0,"(1, 0)"
9,58.30787680820128,"[inf, 2, 1]",0,"(1, 2)"
10,56.269397133221126,"[inf, 2, 2]",0,"(2, 1)"
11,45.9428243508886,"[inf, 2, 3]",0,"(2, 2)"
12,68.57878441866626,"[inf, 3, 0]",0,"(1, 1)"
13,58.26363292596718,"[inf, 3, 1]",0,"(1, 2)"
14,56.23221370886,"[inf, 3, 2]",0,"(2, 1)"
15,45.912573698685804,"[inf, 3, 3]",0,"(2, 2)"
16,437.4971589382612,"[inf, 0, 0]",1,"(0, 0)"
17,237.46252645081847,"[inf, 0, 1]",1,"(0, 2)"
18,235.36022355305383,"[inf, 0, 2]",1,"(2, 0)"
19,35.31865981360532,"[inf, 0, 3]",1,"(2, 2)"
20,247.64621622838843,"[inf, 1, 0]",1,"(0, 1)"
21,237.42093328894086,"[inf, 1, 1]",1,"(0, 2)"
22,45.522271324281064,"[inf, 1, 2]",1,"(2, 1)"
23,35.29022176209064,"[inf, 1, 3]",1,"(2, 2)"
24,247.44130765879154,"[inf, 2, 0]",1,"(1, 0)"
25,47.41958813450437,"[inf, 2, 1]",1,"(1, 2)"
26,45.48618812947377,"[inf, 2, 2]",1,"(2, 1)"
27,35.260867228236904,"[inf, 2, 3]",1,"(2, 2)"
28,57.58731915136759,"[inf, 3, 0]",1,"(1, 1)"
29,47.37535512319699,"[inf, 3, 1]",1,"(1, 2)"
30,45.44901520350516,"[inf, 3, 2]",1,"(2, 1)"
31,35.23062671562515,"[inf, 3, 3]",1,"(2, 2)"
32,426.38307404668615,"[inf, 0, 0]",2,"(0, 0)"
33,226.45163008923083,"[inf, 0, 1]",2,"(0, 2)"
34,224.4544075732158,"[inf, 0, 2]",2,"(2, 0)"
35,24.514096400423966,"[inf, 0, 3]",2,"(2, 2)"
36,236.5321419010202,"[inf, 1, 0]",2,"(0, 1)"
37,226.41004714742635,"[inf, 1, 1]",2,"(0, 2)"
38,34.61646521428591,"[inf, 1, 2]",2,"(2, 1)"
39,24.485667881432413,"[inf, 1, 3]",2,"(2, 2)"
40,236.32724423767235,"[inf, 2, 0]",2,"(1, 0)"
41,36.40871254396305,"[inf, 2, 1]",2,"(1, 2)"
42,34.580392208881996,"[inf, 2, 2]",2,"(2, 1)"
43,24.456323188740807,"[inf, 2, 3]",2,"(2, 2)"
44,46.47326696722449,"[inf, 3, 0]",2,"(1, 1)"
45,36.364490403582394,"[inf, 3, 1]",2,"(1, 2)"
46,34.54322978130592,"[inf, 3, 2]",2,"(2, 1)"
47,24.426092815720096,"[inf, 3, 3]",2,"(2, 2)"
48,400.40994622355004,"[inf, 0, 0]",3,"(0, 0)"
49,202.1064537156022,"[inf, 0, 1]",3,"(0, 2)"
50,201.78931007445635,"[inf, 0, 2]",3,"(2, 0)"
51,3.485817566508498,"[inf, 0, 3]",3,"(2, 2)"
52,210.60694997074523,"[inf, 1, 0]",3,"(0, 1)"
53,202.1064537156022,"[inf, 1, 1]",3,"(0, 2)"
54,11.986313821651521,"[inf, 1, 2]",3,"(2, 1)"
55,3.485817566508498,"[inf, 1, 3]",3,"(2, 2)"
56,210.45153645329324,"[inf, 2, 0]",3,"(1, 0)"
57,12.148043945345398,"[inf, 2, 1]",3,"(1, 2)"
58,11.986313821651521,"[inf, 2, 2]",3,"(2, 1)"
59,3.485817566508498,"[inf, 2, 3]",3,"(2, 2)"
60,20.64854020048842,"[inf, 3, 0]",3,"(1, 1)"
61,12.148043945345398,"[inf, 3, 1]",3,"(1, 2)"
62,11.986313821651521,"[inf, 3, 2]",3,"(2, 1)"
63,3.485817566508498,"[inf, 3, 3]",3,"(2, 2)"
64,0,"[inf, 0, 0]",4,"(0, 0)"
65,0,"[inf, 0, 1]",4,"(0, 0)"
66,0,"[inf, 0, 2]",4,"(0, 0)"
67,0,"[inf, 0, 3]",4,"(0, 0)"
68,0,"[inf, 1, 0]",4,"(0, 1)"
69,0,"[inf, 1, 1]",4,"(0, 1)"
70,0,"[inf, 1, 2]",4,"(0, 1)"
71,0,"[inf, 1, 3]",4,"(0, 1)"
72,0,"[inf, 2, 0]",4,"(0, 1)"
73,0,"[inf, 2, 1]",4,"(0, 1)"
74,0,"[inf, 2, 2]",4,"(0, 1)"
75,0,"[inf, 2, 3]",4,"(0, 1)"
76,0,"[inf, 3, 0]",4,"(0, 1)"
77,0,"[inf, 3, 1]",4,"(0, 1)"
78,0,"[inf, 3, 2]",4,"(0, 1)"
79,0,"[inf, 3, 3]",4,"(0, 1)"
